Month,Avg. Temp,Min. Temp,Max. Temp,Precipitation,Heating Degrees Days,Cooling Degrees Days
"September, 2023",65,51.4,78.6,2.26,96,112
"August, 2023",71.6,58.7,84.6,3.45,21,228
"July, 2023",70.8,57.5,84.2,2.56,37,203
"June, 2023",69.8,57.2,82.3,4.2,52,200
"May, 2023",61.2,47.4,75,2.97,187,72
"April, 2023",41.4,28.7,54,1.22,674,
"March, 2023",23.9,14.4,33.5,1.11,1248,
"February, 2023",22.1,10.8,33.3,0.71,1231,
"January, 2023",19.9,11.2,28.6,0.8,1426,
"December, 2022",15.2,5.7,24.6,1.42,1514,
"November, 2022",29.1,17.8,40.5,0.49,1041,
"October, 2022",49.5,35.1,63.9,0.56,483,
"September, 2022",65.4,49.9,81,0.59,103,102
"August, 2022",73.2,59.2,87.2,1.83,15,243
"July, 2022",74.6,61,88.2,2.79,14,305
"June, 2022",67.7,54.4,80.9,2.34,65,162
"May, 2022",55.4,42.8,67.9,3.41,308,26
"April, 2022",39.7,27.4,52,2.64,736,
"March, 2022",33.4,20.4,46.4,0.43,982,
"February, 2022",20,6.2,33.9,0.28,1262,
"January, 2022",19.2,6.2,32.1,0.21,1432,
"December, 2021",24.5,13.8,35.2,0.63,1224,
"November, 2021",38.2,26,50.5,0.24,807,
"October, 2021",51.2,39.2,63.1,3.42,424,3
"September, 2021",65,50.4,79.6,2.04,106,100
"August, 2021",72.5,58.1,86.8,2.55,19,240
"July, 2021",75.3,61.9,88.7,2.47,14,296
"June, 2021",72.3,57.1,87.5,1.19,30,241
"May, 2021",55,42.1,67.9,2.25,319,24
"April, 2021",43.6,30.1,57.1,1.48,633,
"March, 2021",39.4,26.5,52.4,1.22,801,3
"February, 2021",12.9,2.4,23.4,0.37,1463,
"January, 2021",26.5,18.2,34.8,0.32,1209,
"December, 2020",28.3,16.7,39.8,0.35,1156,
"November, 2020",38.6,24.7,52.4,0.36,793,
"October, 2020",41.2,29.3,53.2,1.11,719,
"September, 2020",60.4,46,74.8,0.74,183,46
"August, 2020",72.6,58.4,86.7,1.97,17,235
"July, 2020",73.5,60.4,86.6,3.34,19,277
"June, 2020",70.3,57.4,83.2,3.04,41,216
"May, 2020",54.2,42.6,65.8,2.71,348,16
"April, 2020",42,28.1,56,0.94,677,
"March, 2020",36.4,25.4,47.4,0.78,882,
"February, 2020",23.5,13,34.1,0.42,1171,
"January, 2020",20.1,11.2,28.9,0.41,1390,
"December, 2019",23.3,14.7,31.9,0.97,1277,
"November, 2019",31.1,20.8,41.4,0.94,1012,
"October, 2019",40.2,29.6,50.9,2.13,744,
"September, 2019",63.1,51.2,75,3.9,127,86
"August, 2019",68.2,57.1,79.2,3.65,50,142
"July, 2019",72.1,60.7,83.6,5.45,26,251
"June, 2019",66.3,53.8,78.8,2.63,86,133
"May, 2019",50.4,40,60.8,5.9,446,9
"April, 2019",44.2,32.9,55.6,2.64,620,
"March, 2019",25.1,15.7,34.5,1.69,1200,
"February, 2019",6.1,-2.8,15,1.01,1601,
"January, 2019",18,8.5,27.4,0.49,1464,
"December, 2018",25.3,15.6,34.9,0.97,1243,
"November, 2018",29.3,19.6,39,0.73,1080,
"October, 2018",43.2,31.8,54.6,1.7,666,
"September, 2018",61.5,49.6,73.3,2.55,154,64
"August, 2018",69.9,56.4,83.5,1.94,37,173
"July, 2018",72.2,59.8,84.6,3.4,28,236
"June, 2018",69.3,57.4,81.1,4.78,51,189
"May, 2018",62.1,49,75.1,2.71,167,86
"April, 2018",36.7,24.7,48.6,1.7,851,
"March, 2018",30.4,21.3,39.5,1.53,1037,
"February, 2018",11.6,-0.1,23.3,0.94,1451,
"January, 2018",18.1,7,29.1,0.3,1454,
"December, 2017",21.7,11.7,31.7,0.42,1333,
"November, 2017",34.7,22.6,46.8,0.23,905,
"October, 2017",48,34.5,61.5,1.24,520,
"September, 2017",61.8,48.4,75.2,2.49,151,66
"August, 2017",67.4,54.6,80.3,3.17,64,121
"July, 2017",76,61,91,2.12,11,323
"June, 2017",68.1,53.6,82.6,2.19,65,157
"May, 2017",56,42.6,69.3,2.12,312,23
"April, 2017",46.1,33.2,58.9,1.94,559,
"March, 2017",35.5,24.2,46.8,0.66,912,
"February, 2017",29.4,18.9,39.9,0.37,971,
"January, 2017",16.5,8.4,24.7,0.68,1437,
